url	directory	proof_assistant	transport	sync_group	discovered_via
https://github.com/Gusarich/tvm-lean	reservoir-sources/Gusarich__tvm-lean	lean	git	bulk	reservoir
https://github.com/Hagb/lean-groebner	reservoir-sources/Hagb__lean-groebner	lean	git	bulk	reservoir
https://github.com/HannahSantos/FMCn_Lean	reservoir-sources/HannahSantos__FMCn_Lean	lean	git	bulk	reservoir
https://github.com/hanwenzhu/hammer-demo-irrational-two	reservoir-sources/hanwenzhu__hammer-demo-irrational-two	lean	git	bulk	reservoir
https://github.com/hanwenzhu/miller-rabin	reservoir-sources/hanwenzhu__miller-rabin	lean	git	bulk	reservoir
https://github.com/Happyves/BerLean_Workshop	reservoir-sources/Happyves__BerLean_Workshop	lean	git	bulk	reservoir
https://github.com/hargoniX/cpdt-lean	reservoir-sources/hargoniX__cpdt-lean	lean	git	bulk	reservoir
https://github.com/haskell-spec/haskell-spec	reservoir-sources/haskell-spec__haskell-spec	lean	git	bulk	reservoir
https://github.com/hawkrobe/linglib	reservoir-sources/hawkrobe__linglib	lean	git	bulk	reservoir
https://github.com/Hayata-Yamasaki-Group/lean-quantum	reservoir-sources/Hayata-Yamasaki-Group__lean-quantum	lean	git	bulk	reservoir
https://github.com/hdmkindom/mathmatic_in_elementary_number_th	reservoir-sources/hdmkindom__mathmatic_in_elementary_number_th	lean	git	bulk	reservoir
https://github.com/henryrobbins/flare	reservoir-sources/henryrobbins__flare	lean	git	bulk	reservoir
https://github.com/hgoldstein95/palamedes-lean	reservoir-sources/hgoldstein95__palamedes-lean	lean	git	bulk	reservoir
https://github.com/hhu-adam/Robo	reservoir-sources/hhu-adam__Robo	lean	git	bulk	reservoir
https://github.com/hrmacbeth/math2001	hrmacbeth__math2001	lean	git	routine	registry
https://github.com/hwatheod/galeshapley-lean	reservoir-sources/hwatheod__galeshapley-lean	lean	git	bulk	reservoir
https://github.com/iasakura/lean-yjs	reservoir-sources/iasakura__lean-yjs	lean	git	bulk	reservoir
